,Project,BugID,Treatment,GroupCount
1,Cli,28,file_untangling,2
2,Cli,28,flexeme,1
3,Cli,28,smartcommit,2
4,Cli,33,file_untangling,2
5,Cli,33,flexeme,5
6,Cli,33,smartcommit,1
7,Closure,16,file_untangling,3
8,Closure,16,flexeme,5
9,Closure,16,smartcommit,1
10,Closure,24,flexeme,5
11,Closure,24,smartcommit,1
12,Closure,64,file_untangling,2
13,Closure,64,flexeme,1
14,Closure,64,smartcommit,2
15,Closure,78,file_untangling,2
16,Closure,78,flexeme,1
17,Closure,78,smartcommit,1
18,Closure,98,file_untangling,4
19,Closure,98,flexeme,8
20,Closure,98,smartcommit,3
21,Csv,1,file_untangling,2
22,Csv,1,flexeme,7
23,Csv,1,smartcommit,1
24,Csv,5,file_untangling,2
25,Csv,5,smartcommit,2
26,Csv,8,file_untangling,3
27,Csv,8,flexeme,4
28,Csv,8,smartcommit,2
29,JacksonDatabind,4,file_untangling,9
30,JacksonDatabind,4,smartcommit,2
31,JacksonDatabind,61,file_untangling,4
32,JacksonDatabind,61,flexeme,4
33,JacksonDatabind,61,smartcommit,2
34,JacksonDatabind,64,file_untangling,3
35,JacksonDatabind,64,flexeme,2
36,JacksonDatabind,64,smartcommit,5
37,JacksonDatabind,69,flexeme,5
38,JacksonDatabind,92,file_untangling,3
39,JacksonDatabind,92,smartcommit,3
40,Jsoup,24,file_untangling,3
41,Jsoup,24,flexeme,1
42,Jsoup,24,smartcommit,3
43,Jsoup,40,file_untangling,5
44,Jsoup,40,flexeme,1
45,Jsoup,40,smartcommit,4
46,Jsoup,55,file_untangling,3
47,Jsoup,55,smartcommit,3
48,JxPath,4,flexeme,6
49,JxPath,4,smartcommit,5
50,JxPath,5,smartcommit,3
51,Lang,8,file_untangling,3
52,Lang,8,flexeme,4
53,Lang,8,smartcommit,2
54,Lang,35,file_untangling,3
55,Lang,35,smartcommit,3
56,Lang,56,file_untangling,2
57,Lang,56,flexeme,4
58,Lang,56,smartcommit,1
59,Lang,57,file_untangling,2
60,Lang,57,flexeme,1
61,Lang,57,smartcommit,1
62,Lang,63,file_untangling,2
63,Lang,63,flexeme,5
64,Lang,63,smartcommit,1
65,Math,3,file_untangling,3
66,Math,3,flexeme,5
67,Math,3,smartcommit,2
68,Math,16,file_untangling,2
69,Math,16,flexeme,10
70,Math,16,smartcommit,1
71,Math,28,file_untangling,2
72,Math,28,flexeme,12
73,Math,28,smartcommit,1
74,Math,34,file_untangling,3
75,Math,34,flexeme,7
76,Math,34,smartcommit,2
77,Math,54,file_untangling,3
78,Math,54,smartcommit,2
79,Math,70,file_untangling,3
80,Math,70,flexeme,3
81,Math,70,smartcommit,2
82,Math,73,file_untangling,3
83,Math,73,flexeme,5
84,Math,73,smartcommit,2
85,Mockito,28,file_untangling,4
86,Mockito,28,smartcommit,2
87,Time,1,flexeme,3
88,Time,1,smartcommit,2
